State,Count
California,78419
New York,35252
Texas,21916
Florida,18619
Massachusetts,14071
Illinois,13510
Pennsylvania,9544
Washington,8740
Georgia,8565
Colorado,8489
New Jersey,7954
Virginia,7657
Ohio,7193
North Carolina,6178
Michigan,5798
Arizona,5497
Maryland,5256
Minnesota,4942
Tennessee,3866
Wisconsin,3841
Utah,3836
Oregon,3808
Missouri,3755
Connecticut,3656
District of Columbia,3596
Indiana,3423
Nevada,3032
South Carolina,2220
Kentucky,1889
Louisiana,1665
Alabama,1662
Delaware,1651
Kansas,1635
Oklahoma,1524
Iowa,1354
New Hampshire,1311
Nebraska,1148
Idaho,931
Arkansas,921
Maine,866
New Mexico,782
Rhode Island,766
Hawaii,689
Vermont,541
Montana,527
Mississippi,464
Wyoming,410
North Dakota,369
South Dakota,350
West Virginia,281
Alaska,236
"Armed Forces Europe, Middle East, & Canada",1
Armed Forces Americas,1
